date,tempc,기온(°F),습도(%),heatindex
19890601,20.6,69.1,59.5,20.6
19890602,21.2,70.2,50.4,21.24
19890603,22.6,72.7,54.4,22.61
19890604,22,71.7,56.8,22.03
19890605,20.4,68.7,82.1,20.37
19890606,21.1,70,70.4,21.1
19890607,24.9,76.8,55.8,24.88
19890608,18,64.4,71.6,18
19890609,16.1,61,80.8,16.1
19890610,18.9,65.9,59.6,18.86
19890611,20.2,68.3,60.8,20.18
19890612,21.8,71.3,68.6,21.83
19890613,24.9,76.9,57.3,24.93
19890614,19.9,67.8,74,19.89
19890615,18.6,65.4,89,18.55
19890616,20.6,69.1,78.1,20.6
19890617,20.1,68.3,70.8,20.14
19890618,18.2,64.8,79.1,18.23
19890619,17.6,63.6,64.8,17.56
19890620,19.9,67.9,58,19.93
19890621,20.8,69.4,66.5,20.77
19890622,21.5,70.6,67.3,21.45
19890623,25.4,77.7,58.9,25.41
19890624,23.8,74.9,48.4,23.82
19890625,23.7,74.6,53.9,23.68
19890626,24,75.1,63,23.95
19890627,22.4,72.4,79.8,22.43
19890628,22.4,72.4,78.6,22.44
19890629,25,77,77.5,25
19890630,24.4,75.9,69.9,24.41
19890701,23.2,73.8,72.8,23.23
19890702,21.5,70.7,69.4,21.48
19890703,21.6,70.8,63,21.55
19890704,22.7,72.9,71.8,22.7
19890705,24.1,75.4,73.5,24.11
19890706,25.7,78.3,64.3,25.72
19890707,25.6,78,66.3,25.57
19890708,22.3,72.1,82.3,22.28
19890709,23,73.4,83,22.99
19890710,23.3,73.9,80,23.3
19890711,21.5,70.8,87.8,21.54
19890712,23.8,74.9,80.4,23.83
19890713,24.9,76.8,75.5,24.88
19890714,25.5,77.9,71.6,25.51
19890715,23.8,74.9,79.5,23.84
19890716,23.2,73.8,92.3,23.23
19890717,26.1,79,86.1,26.12
19890718,27.4,81.4,79.8,30.69
19890719,28.1,82.6,74.8,31.51
19890720,25.7,78.3,82.5,25.73
19890721,25,77,88.1,25.01
19890722,27,80.5,80.8,29.73
19890723,27.5,81.5,75.8,30.38
19890724,27.5,81.4,77.5,30.49
19890725,25.2,77.3,92.9,25.17
19890726,25.6,78.1,81.3,25.6
19890727,21.5,70.7,86.8,21.47
19890728,22.1,71.8,85.4,22.1
19890729,23.3,74,86,23.32
19890730,26.5,79.8,85.8,26.55
19890731,28.5,83.2,75.3,32.43
19890801,27.1,80.8,56.1,27.97
19890802,25.5,77.9,51.9,25.49
