연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1989,0,0,0,0,0,0,1,3,0,0,0,0,4,21
1990,0,0,0,0,0,0,3,8,0,0,0,0,11,10
1991,0,0,0,0,0,0,0,4,0,0,0,0,4,20
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,31
1994,0,0,0,0,0,2,17,10,0,0,0,0,29,2
1995,0,0,0,0,0,0,1,2,0,0,0,0,3,25
1996,0,0,0,0,0,0,2,5,0,0,0,0,7,15
1997,0,0,0,0,0,3,7,6,0,0,0,0,16,5
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,30
1999,0,0,0,0,0,2,2,10,0,0,0,0,14,8
2000,0,0,0,0,0,3,9,6,0,0,0,0,18,4
2001,0,0,0,0,0,0,0,4,0,0,0,0,4,19
2002,0,0,0,0,0,0,3,0,0,0,0,0,3,24
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2004,0,0,0,0,0,0,4,6,0,0,0,0,10,12
2005,0,0,0,0,0,0,3,3,0,0,0,0,6,16
2006,0,0,0,0,0,0,0,7,0,0,0,0,7,14
2007,0,0,0,0,0,1,0,3,0,0,0,0,4,18
2008,0,0,0,0,0,0,0,3,0,0,0,0,3,23
2009,0,0,0,0,0,0,0,4,0,0,0,0,4,17
2010,0,0,0,0,0,0,0,2,0,0,0,0,2,27
2011,0,0,0,0,0,0,1,2,0,0,0,0,3,22
2012,0,0,0,0,0,2,3,9,0,0,0,0,14,7
2013,0,0,0,0,0,0,0,2,0,0,0,0,2,26
2014,0,0,0,0,1,0,7,2,0,0,0,0,10,11
2015,0,0,0,0,0,1,4,3,0,0,0,0,8,13
2016,0,0,0,0,0,0,4,20,0,0,0,0,24,3
2017,0,0,0,0,0,1,5,7,0,0,0,0,13,9
2018,0,0,0,0,0,0,16,19,0,0,0,0,35,1
2019,0,0,0,0,1,0,4,10,0,0,0,0,15,6
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,28
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
가장 긴 폭염,,,,,,,,,,,,,,
연도,지점,시작일,종료일,지속일수,,,,,,,,,,
1989,서울,1989-08-04,1989-08-06,3,,,,,,,,,,
1990,서울,1990-07-29,1990-08-03,6,,,,,,,,,,
1991,서울,1991-08-20,1991-08-21,2,,,,,,,,,,
1992,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,
1994,서울,1994-07-16,1994-07-29,14,,,,,,,,,,
1995,서울,1995-08-14,1995-08-15,2,,,,,,,,,,
1996,서울,1996-07-31,1996-08-03,4,,,,,,,,,,
1997,서울,1997-07-26,1997-07-29,4,,,,,,,,,,
1998,,,,,,,,,,,,,,
1999,서울,1999-08-12,1999-08-17,6,,,,,,,,,,
2000,서울,2000-07-02,2000-07-08,7,,,,,,,,,,
2001,서울,2001-08-16,2001-08-17,2,,,,,,,,,,
2002,서울,2002-07-27,2002-07-28,2,,,,,,,,,,
2003,,,,,,,,,,,,,,
2004,서울,2004-07-29,2004-08-02,5,,,,,,,,,,
2005,서울,2005-07-22,2005-07-24,3,,,,,,,,,,
2006,서울,2006-08-08,2006-08-10,3,,,,,,,,,,
2007,서울,2007-08-25,2007-08-25,1,,,,,,,,,,
2008,서울,2008-08-07,2008-08-08,2,,,,,,,,,,
2009,서울,2009-08-14,2009-08-16,3,,,,,,,,,,
2010,서울,2010-08-09,2010-08-09,1,,,,,,,,,,
2011,서울,2011-08-07,2011-08-07,1,,,,,,,,,,
2012,서울,2012-07-31,2012-08-09,10,,,,,,,,,,
2013,서울,2013-08-21,2013-08-21,1,,,,,,,,,,
2014,서울,2014-07-30,2014-08-02,4,,,,,,,,,,
2015,서울,2015-08-06,2015-08-08,3,,,,,,,,,,
2016,서울,2016-08-03,2016-08-13,11,,,,,,,,,,
2017,서울,2017-08-01,2017-08-07,7,,,,,,,,,,
2018,서울,2018-07-18,2018-08-08,22,,,,,,,,,,
2019,서울,2019-08-02,2019-08-06,5,,,,,,,,,,
2020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
가장 빠른/가장 늦은 폭염,,,,,,,,,,,,,,
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜,,,,,,,,,,
1989,서울,1989-07-31,서울,1989-08-06,,,,,,,,,,
1990,서울,1990-07-29,서울,1990-08-13,,,,,,,,,,
1991,서울,1991-08-14,서울,1991-08-21,,,,,,,,,,
1992,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,
1994,서울,1994-06-16,서울,1994-08-15,,,,,,,,,,
1995,서울,1995-07-23,서울,1995-08-15,,,,,,,,,,
1996,서울,1996-07-18,서울,1996-08-14,,,,,,,,,,
1997,서울,1997-06-15,서울,1997-08-20,,,,,,,,,,
1998,,,,,,,,,,,,,,
1999,서울,1999-06-28,서울,1999-08-17,,,,,,,,,,
2000,서울,2000-06-18,서울,2000-08-30,,,,,,,,,,
2001,서울,2001-08-02,서울,2001-08-17,,,,,,,,,,
2002,서울,2002-07-25,서울,2002-07-28,,,,,,,,,,
2003,,,,,,,,,,,,,,
2004,서울,2004-07-23,서울,2004-08-12,,,,,,,,,,
2005,서울,2005-07-22,서울,2005-08-16,,,,,,,,,,
2006,서울,2006-08-03,서울,2006-08-14,,,,,,,,,,
2007,서울,2007-06-18,서울,2007-08-25,,,,,,,,,,
2008,서울,2008-08-07,서울,2008-08-10,,,,,,,,,,
2009,서울,2009-08-09,서울,2009-08-16,,,,,,,,,,
2010,서울,2010-08-05,서울,2010-08-09,,,,,,,,,,
2011,서울,2011-07-18,서울,2011-08-07,,,,,,,,,,
2012,서울,2012-06-19,서울,2012-08-09,,,,,,,,,,
2013,서울,2013-08-11,서울,2013-08-21,,,,,,,,,,
2014,서울,2014-05-31,서울,2014-08-02,,,,,,,,,,
2015,서울,2015-06-10,서울,2015-08-08,,,,,,,,,,
2016,서울,2016-07-10,서울,2016-08-23,,,,,,,,,,
2017,서울,2017-06-23,서울,2017-08-07,,,,,,,,,,
2018,서울,2018-07-15,서울,2018-08-22,,,,,,,,,,
2019,서울,2019-05-24,서울,2019-08-14,,,,,,,,,,
2020,,,,,,,,,,,,,,
