연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1989,0,0,0,0,0,0,2,2,0,0,0,0,4,26
1990,0,0,0,0,0,0,2,2,0,0,0,0,4,25
1991,0,0,0,0,0,0,1,1,0,0,0,0,2,29
1992,0,0,0,0,0,0,3,0,0,0,0,0,3,28
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,31
1994,0,0,0,0,0,0,21,15,0,0,0,0,36,1
1995,0,0,0,0,0,0,4,12,0,0,0,0,16,9
1996,0,0,0,0,0,0,3,11,0,0,0,0,14,12
1997,0,0,0,0,0,0,10,7,0,0,0,0,17,8
1998,0,0,0,0,0,0,2,1,0,0,0,0,3,27
1999,0,0,0,0,0,0,2,6,0,0,0,0,8,20
2000,0,0,0,0,0,0,6,4,0,0,0,0,10,17
2001,0,0,0,0,0,0,5,4,0,0,0,0,9,19
2002,0,0,0,0,0,0,3,1,0,0,0,0,4,24
2003,0,0,0,0,0,0,0,1,0,0,0,0,1,30
2004,0,0,0,0,0,0,4,9,0,0,0,0,13,13
2005,0,0,0,0,0,0,3,8,0,0,0,0,11,15
2006,0,0,0,0,0,0,2,8,0,0,0,0,10,16
2007,0,0,0,0,0,0,2,12,0,0,0,0,14,11
2008,0,0,0,0,0,0,4,5,0,0,0,0,9,18
2009,0,0,0,0,0,0,1,3,0,0,0,0,4,23
2010,0,0,0,0,0,0,5,10,0,0,0,0,15,10
2011,0,0,0,0,0,0,1,3,0,0,0,0,4,22
2012,0,0,0,0,0,0,7,13,0,0,0,0,20,5
2013,0,0,0,0,0,0,5,18,0,0,0,0,23,4
2014,0,0,0,0,0,0,4,2,0,0,0,0,6,21
2015,0,0,0,0,0,0,7,5,0,0,0,0,12,14
2016,0,0,0,0,0,0,10,22,0,0,0,0,32,2
2017,0,0,0,0,0,0,10,9,0,0,0,0,19,6
2018,0,0,0,0,0,0,12,17,0,0,0,0,29,3
2019,0,0,0,0,0,0,6,11,0,0,0,0,17,7
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
가장 긴 열대야,,,,,,,,,,,,,,
연도,지점,시작일,종료일,지속일수,,,,,,,,,,
1989,서울,1989-07-18,1989-07-19,2,,,,,,,,,,
1990,서울,1990-08-07,1990-08-07,1,,,,,,,,,,
1991,서울,1991-08-17,1991-08-17,1,,,,,,,,,,
1992,서울,1992-07-28,1992-07-28,1,,,,,,,,,,
1993,,,,,,,,,,,,,,
1994,서울,1994-07-17,1994-08-09,24,,,,,,,,,,
1995,서울,1995-07-30,1995-08-07,9,,,,,,,,,,
1996,서울,1996-08-05,1996-08-10,6,,,,,,,,,,
1997,서울,1997-07-23,1997-08-02,11,,,,,,,,,,
1998,서울,1998-08-04,1998-08-04,1,,,,,,,,,,
1999,서울,1999-08-07,1999-08-11,5,,,,,,,,,,
2000,서울,2000-08-16,2000-08-17,2,,,,,,,,,,
2001,서울,2001-07-25,2001-07-27,3,,,,,,,,,,
2002,서울,2002-07-26,2002-07-28,3,,,,,,,,,,
2003,서울,2003-08-21,2003-08-21,1,,,,,,,,,,
2004,서울,2004-08-06,2004-08-12,7,,,,,,,,,,
2005,서울,2005-08-12,2005-08-16,5,,,,,,,,,,
2006,서울,2006-08-12,2006-08-15,4,,,,,,,,,,
2007,서울,2007-07-31,2007-08-03,4,,,,,,,,,,
2008,서울,2008-08-07,2008-08-10,4,,,,,,,,,,
2009,서울,2009-08-17,2009-08-19,3,,,,,,,,,,
2010,서울,2010-08-19,2010-08-22,4,,,,,,,,,,
2011,서울,2011-08-05,2011-08-06,2,,,,,,,,,,
2012,서울,2012-07-27,2012-08-09,14,,,,,,,,,,
2013,서울,2013-08-01,2013-08-09,9,,,,,,,,,,
2014,서울,2014-07-29,2014-07-30,2,,,,,,,,,,
2015,서울,2015-07-28,2015-07-31,4,,,,,,,,,,
2016,서울,2016-08-03,2016-08-23,21,,,,,,,,,,
