연도,연합계,,,
1989,4,,,
1990,4,,,
1991,2,,,
1992,3,,,
1993,0,,,
1994,36,,,
1995,16,,,
1996,14,,,
1997,17,,,
1998,3,,,
1999,8,,,
2000,10,,,
2001,9,,,
2002,4,,,
2003,1,,,
2004,13,,,
2005,11,,,
2006,10,,,
2007,14,,,
2008,9,,,
2009,4,,,
2010,15,,,
2011,4,,,
2012,20,,,
2013,23,,,
2014,6,,,
2015,12,,,
2016,32,,,
2017,19,,,
2018,29,,,
2019,17,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
