Time,Area,Title
2008-01-15 5:30,강원도,제 01-22호 | 한파주의보 발표
2008-01-15 5:30,전국,제 01-50호 | 한파주의보 발표
2008-01-17 17:00,강원도,제 01-29호 | 한파주의보 해제
2008-01-17 17:00,전국,제 01-64호 | 한파주의보 해제
2008-01-23 17:00,서울·인천·경기도,제 01-19호 | 한파주의보 발표
2008-01-23 17:00,강원도,제 01-45호 | 한파주의보·풍랑주의보 발표
2008-01-23 17:00,전국,제 01-106호 | 한파주의보·풍랑주의보 발표
2008-01-25 11:00,서울·인천·경기도,제 01-21호 | 한파주의보 해제
2008-01-25 11:00,강원도,제 01-48호 | 한파주의보 해제
2008-01-25 11:00,전국,제 01-116호 | 한파주의보 해제
2008-02-24 2:00,부산·울산·경상남도,제 02-21호 | 한파주의보 발표
2008-02-24 2:00,전국,제 02-81호 | 한파주의보 발표
2008-02-25 9:00,부산·울산·경상남도,제 02-26호 | 한파주의보 해제·풍랑주의보 발표
2008-02-25 9:00,전국,제 02-88호 | 한파주의보 해제·풍랑주의보 발표
2008-11-29 1:00,강원도,제 11-3호 | 한파주의보 발표
2008-11-30 1:00,강원도,제 11-3호 | 한파주의보 발표
2008-11-30 1:00,부산·울산·경상남도,제 11-31호 | 한파주의보 발표
2008-11-30 1:00,강원도,제 11-34호 | 한파주의보 발표
2008-11-30 1:00,전국,제 11-107호 | 한파주의보 발표
2008-11-30 9:30,강원도,제 11-4호 | 한파주의보 해제
2008-11-30 9:30,부산·울산·경상남도,제 11-33호 | 한파주의보 해제
2008-11-30 9:30,강원도,제 11-36호 | 한파주의보 해제
2008-11-30 9:30,전국,제 11-110호 | 한파주의보 해제
2008-12-04 10:00,강원도,제 12-1호 | 한파주의보 발표
2008-12-04 10:00,강원도,제 12-1호 | 한파주의보 발표
2008-12-04 10:00,서울·인천·경기도,제 12-4호 | 한파주의보 발표
2008-12-04 10:00,전국,제 12-7호 | 한파주의보 발표
2008-12-04 17:00,대전·세종·충청남도,제 12-5호 | 한파주의보 발표
2008-12-04 17:00,전국,제 12-11호 | 강풍주의보·한파주의보·풍랑주의보 발표
2008-12-07 11:00,강원도,제 12-6호 | 한파주의보 해제
2008-12-07 11:00,서울·인천·경기도,제 12-7호 | 한파주의보 해제
2008-12-07 11:00,강원도,제 12-14호 | 한파주의보 해제
2008-12-07 11:00,대전·세종·충청남도,제 12-18호 | 한파주의보 해제
2008-12-07 11:00,전국,제 12-49호 | 한파주의보 해제
2008-12-25 16:30,강원도,제 12-15호 | 한파주의보 발표
2008-12-25 16:30,부산·울산·경상남도,제 12-26호 | 한파주의보·풍랑주의보 발표
2008-12-25 16:30,강원도,제 12-36호 | 한파주의보 발표
2008-12-25 16:30,광주·전라남도,제 12-44호 | 한파주의보 발표
2008-12-25 16:30,전국,제 12-111호 | 한파주의보·풍랑주의보 발표
2008-12-25 17:00,강원도,제 12-15호 | 한파주의보 발표
2008-12-27 17:00,강원도,제 12-16호 | 한파주의보 해제 발표
2008-12-27 17:00,부산·울산·경상남도,제 12-32호 | 한파주의보 해제·건조주의보 발표
2008-12-27 17:00,강원도,제 12-42호 | 한파주의보 해제
2008-12-27 17:00,광주·전라남도,제 12-47호 | 한파주의보 해제·건조주의보 발표
2008-12-27 17:00,전국,제 12-119호 | 한파주의보 해제·건조주의보 발표
2009-01-14 22:00,전라북도,제 01-25호 | 한파주의보 발표
2009-01-14 22:00,광주·전라남도,제 01-47호 | 한파주의보 발표
2009-01-14 22:00,전국,제 01-97호 | 한파주의보 발표
2009-01-15 4:00,전라북도,제 01-26호 | 한파주의보 발표
2009-01-15 4:00,광주·전라남도,제 01-48호 | 강풍주의보 해제·한파주의보 발표·풍랑주의보 해제
2009-01-15 4:00,전국,제 01-99호 | 강풍주의보 해제·한파주의보 발표·건조경보 대치·풍랑주의보 해제
2009-01-15 5:00,대전·세종·충청남도,제 01-15호 | 한파주의보 발표
2009-01-15 5:00,전국,제 01-100호 | 한파주의보 발표
2009-01-15 6:25,전라북도,제 01-27호 | 한파주의보 발표
