"","Year","Month","Area","Title"
"1","2007 겨울","01","서울·인천·경기도","제 01-19호 | 한파주의보 발표"
"2","2007 겨울","01","서울·인천·경기도","제 01-21호 | 한파주의보 해제"
"3","2008 겨울","12","서울·인천·경기도","제 12-4호 | 한파주의보 발표"
"4","2008 겨울","12","서울·인천·경기도","제 12-7호 | 한파주의보 해제"
"5","2008 겨울","01","서울·인천·경기도","제 01-8호 | 한파주의보 발표"
"6","2008 겨울","01","서울·인천·경기도","제 01-19호 | 한파주의보·대설주의보 해제"
"7","2008 겨울","02","서울·인천·경기도","제 02-6호 | 한파주의보 발표"
"8","2008 겨울","02","서울·인천·경기도","제 02-7호 | 한파주의보 해제"
"9","2009 겨울","12","서울·인천·경기도","제 12-7호 | 한파주의보 발표"
"10","2009 겨울","01","서울·인천·경기도","제 01-1호 | 한파주의보 해제"
"11","2010 겨울","12","서울·인천·경기도","제 12-9호 | 강풍주의보·한파주의보 발표"
"12","2010 겨울","12","서울·인천·경기도","제 12-11호 | 한파주의보 해제"
"13","2010 겨울","12","서울·인천·경기도","제 12-5호 | 한파주의보 발표"
"14","2010 겨울","12","서울·인천·경기도","제 12-24호 | 한파주의보 발표"
"15","2010 겨울","12","서울·인천·경기도","제 12-7호 | 한파주의보 해제"
"16","2010 겨울","12","서울·인천·경기도","제 12-30호 | 한파주의보 해제"
"17","2010 겨울","12","서울·인천·경기도","제 12-9호 | 한파주의보 발표"
"18","2010 겨울","12","서울·인천·경기도","제 12-35호 | 한파경보·한파주의보 발표"
"19","2010 겨울","12","서울·인천·경기도","제 12-10호 | 한파경보 대치"
"20","2010 겨울","12","서울·인천·경기도","제 12-36호 | 한파경보 대치"
"21","2010 겨울","12","서울·인천·경기도","제 12-11호 | 한파주의보 대치"
"22","2010 겨울","12","서울·인천·경기도","제 12-40호 | 한파주의보 대치"
"23","2010 겨울","12","서울·인천·경기도","제 12-12호 | 한파주의보 해제"
"24","2010 겨울","12","서울·인천·경기도","제 12-44호 | 한파주의보 해제"
"25","2010 겨울","12","서울·인천·경기도","제 12-17호 | 한파주의보 발표"
"26","2010 겨울","12","서울·인천·경기도","제 12-56호 | 한파경보·한파주의보 발표"
"27","2010 겨울","12","서울·인천·경기도","제 12-61호 | 한파경보 대치"
"28","2010 겨울","01","서울·인천·경기도","제 01-1호 | 한파주의보 해제"
"29","2010 겨울","01","서울·인천·경기도","제 01-2호 | 한파주의보 해제·한파주의보 대치"
"30","2010 겨울","01","서울·인천·경기도","제 01-3호 | 한파주의보 해제"
"31","2010 겨울","01","서울·인천·경기도","제 01-2호 | 한파주의보 발표"
"32","2010 겨울","01","서울·인천·경기도","제 01-4호 | 강풍주의보 발표·한파경보 대치·한파주의보·풍랑주의보 발표"
"33","2010 겨울","01","서울·인천·경기도","제 01-3호 | 한파주의보 해제"
"34","2010 겨울","01","서울·인천·경기도","제 01-6호 | 한파주의보 해제·한파주의보 대치"
"35","2010 겨울","01","서울·인천·경기도","제 01-7호 | 한파경보·한파주의보 해제"
"36","2010 겨울","01","서울·인천·경기도","제 01-9호 | 한파주의보 발표"
"37","2010 겨울","01","서울·인천·경기도","제 01-11호 | 한파주의보 발표"
"38","2010 겨울","01","서울·인천·경기도","제 01-4호 | 강풍주의보·한파주의보·풍랑주의보 발표"
"39","2010 겨울","01","서울·인천·경기도","제 01-12호 | 강풍주의보·한파주의보·풍랑주의보 발표"
"40","2010 겨울","01","서울·인천·경기도","제 01-7호 | 한파주의보 해제"
"41","2010 겨울","01","서울·인천·경기도","제 01-8호 | 한파경보·한파주의보 발표"
"42","2010 겨울","01","서울·인천·경기도","제 01-14호 | 한파경보·한파주의보 발표"
"43","2010 겨울","01","서울·인천·경기도","제 01-9호 | 한파경보 대치"
"44","2010 겨울","01","서울·인천·경기도","제 01-10호 | 한파주의보 해제·한파주의보 대치"
"45","2010 겨울","01","서울·인천·경기도","제 01-19호 | 한파주의보 해제·한파주의보 대치"
"46","2010 겨울","01","서울·인천·경기도","제 01-11호 | 한파주의보 해제·한파주의보 대치"
"47","2010 겨울","01","서울·인천·경기도","제 01-20호 | 한파주의보 해제·한파주의보 대치"
"48","2010 겨울","01","서울·인천·경기도","제 01-12호 | 한파주의보 해제·한파주의보 대치"
"49","2010 겨울","01","서울·인천·경기도","제 01-13호 | 한파경보·한파주의보 해제"
"50","2010 겨울","01","서울·인천·경기도","제 01-16호 | 강풍주의보·한파주의보·풍랑주의보 발표"
"51","2010 겨울","01","서울·인천·경기도","제 01-22호 | 강풍주의보·한파주의보·풍랑주의보 발표"
"52","2010 겨울","01","서울·인천·경기도","제 01-19호 | 한파경보 대치·한파주의보 발표"
"53","2010 겨울","01","서울·인천·경기도","제 01-24호 | 한파주의보 발표"
"54","2010 겨울","01","서울·인천·경기도","제 01-20호 | 한파경보·한파주의보 해제·한파주의보 대치"
"55","2010 겨울","01","서울·인천·경기도","제 01-28호 | 한파경보·한파주의보 해제·한파주의보 대치"
"56","2010 겨울","02","서울·인천·경기도","제 02-1호 | 한파주의보 해제"
"57","2011 겨울","12","서울·인천·경기도","제 12-3호 | 한파주의보 발표"
"58","2011 겨울","12","서울·인천·경기도","제 12-4호 | 한파주의보 해제"
"59","2011 겨울","12","서울·인천·경기도","제 12-5호 | 한파주의보 발표"
"60","2011 겨울","12","서울·인천·경기도","제 12-6호 | 한파주의보 해제"
"61","2011 겨울","12","서울·인천·경기도","제 12-12호 | 한파주의보 발표"
"62","2011 겨울","12","서울·인천·경기도","제 12-13호 | 한파경보 대치"
"63","2011 겨울","12","서울·인천·경기도","제 12-14호 | 한파주의보 대치·한파주의보 해제·건조주의보 발표"
"64","2011 겨울","12","서울·인천·경기도","제 12-15호 | 한파경보·한파주의보 해제"
"65","2011 겨울","01","서울·인천·경기도","제 01-1호 | 한파주의보 발표·대설주의보 해제"
"66","2011 겨울","01","서울·인천·경기도","제 01-3호 | 한파주의보 발표·대설주의보 해제"
"67","2011 겨울","01","서울·인천·경기도","제 01-2호 | 한파주의보 해제"
"68","2011 겨울","01","서울·인천·경기도","제 01-3호 | 한파주의보 발표"
"69","2011 겨울","01","서울·인천·경기도","제 01-4호 | 한파주의보 해제"
"70","2011 겨울","01","서울·인천·경기도","제 01-5호 | 한파주의보 발표"
"71","2011 겨울","01","서울·인천·경기도","제 01-9호 | 한파주의보 발표"
"72","2011 겨울","01","서울·인천·경기도","제 01-6호 | 한파경보 대치"
"73","2011 겨울","01","서울·인천·경기도","제 01-7호 | 한파경보·한파주의보 해제·한파주의보 대치"
"74","2011 겨울","01","서울·인천·경기도","제 01-11호 | 한파경보·한파주의보 해제·한파주의보 대치"
"75","2011 겨울","01","서울·인천·경기도","제 01-8호 | 한파주의보 해제"
"76","2011 겨울","01","서울·인천·경기도","제 01-11호 | 한파경보·한파주의보 발표"
"77","2011 겨울","01","서울·인천·경기도","제 01-13호 | 한파경보 대치·한파주의보·풍랑주의보·대설주의보 발표"
"78","2011 겨울","01","서울·인천·경기도","제 01-14호 | 한파경보 대치·한파주의보·풍랑주의보·대설주의보 발표"
"79","2011 겨울","02","서울·인천·경기도","제 02-1호 | 한파경보 발표·한파경보 대치"
"80","2011 겨울","02","서울·인천·경기도","제 02-1호 | 한파경보 발표·한파경보 대치"
"81","2011 겨울","02","서울·인천·경기도","제 02-3호 | 한파경보·한파주의보 해제"
"82","2011 겨울","02","서울·인천·경기도","제 02-4호 | 한파경보·한파주의보 해제"
"83","2011 겨울","02","서울·인천·경기도","제 02-5호 | 강풍주의보·한파주의보·풍랑주의보 발표"
"84","2011 겨울","02","서울·인천·경기도","제 02-6호 | 강풍주의보·한파주의보·풍랑주의보 발표"
"85","2011 겨울","02","서울·인천·경기도","제 02-6호 | 한파주의보 발표"
"86","2011 겨울","02","서울·인천·경기도","제 02-7호 | 한파주의보 해제"
"87","2011 겨울","02","서울·인천·경기도","제 02-9호 | 한파주의보 해제"
"88","2011 겨울","02","서울·인천·경기도","제 02-11호 | 한파주의보 발표"
"89","2011 겨울","02","서울·인천·경기도","제 02-13호 | 한파경보 대치·한파주의보 발표"
"90","2011 겨울","02","서울·인천·경기도","제 02-14호 | 한파경보·한파주의보 해제"
"91","2012 겨울","12","서울·인천·경기도","제 12-5호 | 강풍주의보·한파주의보 발표"
"92","2012 겨울","12","서울·인천·경기도","제 12-12호 | 한파경보 대치·한파주의보 발표"
"93","2012 겨울","12","서울·인천·경기도","제 12-13호 | 한파주의보 발표"
