date,Year,Month,windchill,year
1989-12-01,1989 겨울,12,-0.9,1989
1989-12-02,1989 겨울,12,5.1,1989
1989-12-03,1989 겨울,12,8.5,1989
1989-12-04,1989 겨울,12,6.2,1989
1989-12-05,1989 겨울,12,2.1,1989
1989-12-06,1989 겨울,12,2.2,1989
1989-12-07,1989 겨울,12,-1.8,1989
1989-12-08,1989 겨울,12,-5.4,1989
1989-12-09,1989 겨울,12,0.5,1989
1989-12-10,1989 겨울,12,1.3,1989
1989-12-11,1989 겨울,12,4.2,1989
1989-12-12,1989 겨울,12,0.9,1989
1989-12-13,1989 겨울,12,0.5,1989
1989-12-14,1989 겨울,12,-4.6,1989
1989-12-15,1989 겨울,12,0,1989
1989-12-16,1989 겨울,12,2.9,1989
1989-12-17,1989 겨울,12,3.8,1989
1989-12-18,1989 겨울,12,2.7,1989
1989-12-19,1989 겨울,12,4.1,1989
1989-12-20,1989 겨울,12,2,1989
1989-12-21,1989 겨울,12,0.8,1989
1989-12-22,1989 겨울,12,-1,1989
1989-12-23,1989 겨울,12,-0.8,1989
1989-12-24,1989 겨울,12,0.7,1989
1989-12-25,1989 겨울,12,1.9,1989
1989-12-26,1989 겨울,12,-8,1989
1989-12-27,1989 겨울,12,-7.9,1989
1989-12-28,1989 겨울,12,-4.6,1989
1989-12-29,1989 겨울,12,-3.5,1989
1989-12-30,1989 겨울,12,-8.1,1989
1989-12-31,1989 겨울,12,-5.9,1989
1990-01-01,1989 겨울,1,-3.4,1990
1990-01-02,1989 겨울,1,-6.3,1990
1990-01-03,1989 겨울,1,-7.4,1990
1990-01-04,1989 겨울,1,-4.2,1990
1990-01-05,1989 겨울,1,-1.3,1990
1990-01-06,1989 겨울,1,-7.1,1990
1990-01-07,1989 겨울,1,-4.3,1990
1990-01-08,1989 겨울,1,-1.9,1990
1990-01-09,1989 겨울,1,4.4,1990
1990-01-10,1989 겨울,1,2,1990
1990-01-11,1989 겨울,1,1.4,1990
1990-01-12,1989 겨울,1,-2.8,1990
1990-01-13,1989 겨울,1,-8.1,1990
1990-01-14,1989 겨울,1,-3.7,1990
1990-01-15,1989 겨울,1,-5.9,1990
1990-01-16,1989 겨울,1,-4.4,1990
1990-01-17,1989 겨울,1,-0.8,1990
1990-01-18,1989 겨울,1,-1.3,1990
1990-01-19,1989 겨울,1,-10.4,1990
1990-01-20,1989 겨울,1,-11.4,1990
1990-01-21,1989 겨울,1,-5.6,1990
1990-01-22,1989 겨울,1,-15.5,1990
1990-01-23,1989 겨울,1,-15.1,1990
1990-01-24,1989 겨울,1,-19.6,1990
1990-01-25,1989 겨울,1,-19.2,1990
1990-01-26,1989 겨울,1,-12.3,1990
1990-01-27,1989 겨울,1,-7.7,1990
1990-01-28,1989 겨울,1,-3.4,1990
1990-01-29,1989 겨울,1,0.3,1990
1990-01-30,1989 겨울,1,-1.2,1990
1990-01-31,1989 겨울,1,-3.1,1990
1990-02-01,1989 겨울,2,-3.7,1990
1990-02-02,1989 겨울,2,-2.9,1990
1990-02-03,1989 겨울,2,-3.2,1990
1990-02-04,1989 겨울,2,-1.9,1990
1990-02-05,1989 겨울,2,-1.7,1990
1990-02-06,1989 겨울,2,-2,1990
1990-02-07,1989 겨울,2,-1.5,1990
1990-02-08,1989 겨울,2,0.7,1990
1990-02-09,1989 겨울,2,3.3,1990
1990-02-10,1989 겨울,2,0.8,1990
1990-02-11,1989 겨울,2,-0.2,1990
1990-02-12,1989 겨울,2,-2.9,1990
1990-02-13,1989 겨울,2,-0.6,1990
1990-02-14,1989 겨울,2,4.4,1990
1990-02-15,1989 겨울,2,3.5,1990
1990-02-16,1989 겨울,2,4.9,1990
1990-02-17,1989 겨울,2,5.9,1990
1990-02-18,1989 겨울,2,4.5,1990
1990-02-19,1989 겨울,2,4,1990
1990-02-20,1989 겨울,2,1.3,1990
1990-02-21,1989 겨울,2,5.7,1990
1990-02-22,1989 겨울,2,5.8,1990
1990-02-23,1989 겨울,2,5.6,1990
1990-02-24,1989 겨울,2,4.5,1990
1990-02-25,1989 겨울,2,-2.8,1990
1990-02-26,1989 겨울,2,-2.2,1990
1990-02-27,1989 겨울,2,2.3,1990
1990-02-28,1989 겨울,2,5.7,1990
1990-12-01,1990 겨울,12,-3.4,1990
1990-12-02,1990 겨울,12,-8.5,1990
1990-12-03,1990 겨울,12,-3.1,1990
1990-12-04,1990 겨울,12,0.9,1990
1990-12-05,1990 겨울,12,5.6,1990
1990-12-06,1990 겨울,12,7.9,1990
1990-12-07,1990 겨울,12,10.2,1990
1990-12-08,1990 겨울,12,10.9,1990
1990-12-09,1990 겨울,12,10.1,1990
1990-12-10,1990 겨울,12,8,1990
1990-12-11,1990 겨울,12,-2.9,1990
1990-12-12,1990 겨울,12,-1.4,1990
1990-12-13,1990 겨울,12,0.1,1990
1990-12-14,1990 겨울,12,-1,1990
1990-12-15,1990 겨울,12,-4.9,1990
1990-12-16,1990 겨울,12,-1.9,1990
1990-12-17,1990 겨울,12,-1.6,1990
1990-12-18,1990 겨울,12,-2.5,1990
1990-12-19,1990 겨울,12,-1.4,1990
1990-12-20,1990 겨울,12,0.9,1990
1990-12-21,1990 겨울,12,3.2,1990
1990-12-22,1990 겨울,12,-3,1990
1990-12-23,1990 겨울,12,-8.4,1990
1990-12-24,1990 겨울,12,-5.3,1990
1990-12-25,1990 겨울,12,-4.3,1990
1990-12-26,1990 겨울,12,-16.7,1990
1990-12-27,1990 겨울,12,-10.7,1990
1990-12-28,1990 겨울,12,-7.6,1990
1990-12-29,1990 겨울,12,-5.3,1990
1990-12-30,1990 겨울,12,-3.6,1990
1990-12-31,1990 겨울,12,1.4,1990
1991-01-01,1990 겨울,1,-2,1991
1991-01-02,1990 겨울,1,-10,1991
1991-01-03,1990 겨울,1,-8.1,1991
1991-01-04,1990 겨울,1,-13.3,1991
1991-01-05,1990 겨울,1,-15.7,1991
1991-01-06,1990 겨울,1,-8.7,1991
1991-01-07,1990 겨울,1,-7.9,1991
1991-01-08,1990 겨울,1,-10.7,1991
1991-01-09,1990 겨울,1,-6.6,1991
1991-01-10,1990 겨울,1,-3.8,1991
1991-01-11,1990 겨울,1,-4.8,1991
1991-01-12,1990 겨울,1,-6.9,1991
1991-01-13,1990 겨울,1,-9.7,1991
1991-01-14,1990 겨울,1,-7.5,1991
1991-01-15,1990 겨울,1,-4.7,1991
1991-01-16,1990 겨울,1,-0.5,1991
1991-01-17,1990 겨울,1,-6.3,1991
1991-01-18,1990 겨울,1,-4.3,1991
1991-01-19,1990 겨울,1,-0.9,1991
1991-01-20,1990 겨울,1,2.3,1991
1991-01-21,1990 겨울,1,4,1991
1991-01-22,1990 겨울,1,1.3,1991
1991-01-23,1990 겨울,1,1.4,1991
1991-01-24,1990 겨울,1,-1.4,1991
1991-01-25,1990 겨울,1,-4.6,1991
1991-01-26,1990 겨울,1,-4.1,1991
1991-01-27,1990 겨울,1,-3.7,1991
1991-01-28,1990 겨울,1,-1.1,1991
1991-01-29,1990 겨울,1,-0.5,1991
1991-01-30,1990 겨울,1,-1.3,1991
1991-01-31,1990 겨울,1,-2.3,1991
1991-02-01,1990 겨울,2,-4.8,1991
1991-02-02,1990 겨울,2,-3.9,1991
1991-02-03,1990 겨울,2,-2.2,1991
1991-02-04,1990 겨울,2,-4.1,1991
1991-02-05,1990 겨울,2,-4.6,1991
1991-02-06,1990 겨울,2,-0.7,1991
1991-02-07,1990 겨울,2,1.4,1991
1991-02-08,1990 겨울,2,-1.8,1991
1991-02-09,1990 겨울,2,2,1991
1991-02-10,1990 겨울,2,3.8,1991
1991-02-11,1990 겨울,2,0.7,1991
1991-02-12,1990 겨울,2,0.8,1991
1991-02-13,1990 겨울,2,3.5,1991
1991-02-14,1990 겨울,2,4.9,1991
1991-02-15,1990 겨울,2,1.3,1991
1991-02-16,1990 겨울,2,1.7,1991
1991-02-17,1990 겨울,2,-0.5,1991
1991-02-18,1990 겨울,2,-1.8,1991
1991-02-19,1990 겨울,2,-9.9,1991
1991-02-20,1990 겨울,2,-7.1,1991
1991-02-21,1990 겨울,2,-14.2,1991
1991-02-22,1990 겨울,2,-15.1,1991
1991-02-23,1990 겨울,2,-16.9,1991
1991-02-24,1990 겨울,2,-12,1991
1991-02-25,1990 겨울,2,-5.4,1991
1991-02-26,1990 겨울,2,-0.9,1991
1991-02-27,1990 겨울,2,1.8,1991
1991-02-28,1990 겨울,2,-2.8,1991
1991-12-01,1991 겨울,12,2.8,1991
1991-12-02,1991 겨울,12,4.6,1991
1991-12-03,1991 겨울,12,-0.5,1991
1991-12-04,1991 겨울,12,2.1,1991
1991-12-05,1991 겨울,12,5.8,1991
1991-12-06,1991 겨울,12,7.8,1991
1991-12-07,1991 겨울,12,7.9,1991
1991-12-08,1991 겨울,12,1.2,1991
1991-12-09,1991 겨울,12,-3.7,1991
1991-12-10,1991 겨울,12,-2.2,1991
1991-12-11,1991 겨울,12,-6.7,1991
1991-12-12,1991 겨울,12,-12.4,1991
1991-12-13,1991 겨울,12,-4.5,1991
1991-12-14,1991 겨울,12,4.9,1991
1991-12-15,1991 겨울,12,7.5,1991
1991-12-16,1991 겨울,12,8.1,1991
1991-12-17,1991 겨울,12,4.3,1991
1991-12-18,1991 겨울,12,1.5,1991
1991-12-19,1991 겨울,12,2.5,1991
1991-12-20,1991 겨울,12,2.5,1991
1991-12-21,1991 겨울,12,1.5,1991
1991-12-22,1991 겨울,12,4.5,1991
1991-12-23,1991 겨울,12,5.6,1991
1991-12-24,1991 겨울,12,1.4,1991
1991-12-25,1991 겨울,12,1.8,1991
1991-12-26,1991 겨울,12,1.4,1991
1991-12-27,1991 겨울,12,-1.9,1991
1991-12-28,1991 겨울,12,-11.1,1991
1991-12-29,1991 겨울,12,-11.6,1991
1991-12-30,1991 겨울,12,-6.4,1991
1991-12-31,1991 겨울,12,-0.8,1991
1992-01-01,1991 겨울,1,1.5,1992
1992-01-02,1991 겨울,1,-0.4,1992
1992-01-03,1991 겨울,1,-3.2,1992
1992-01-04,1991 겨울,1,-3.2,1992
1992-01-05,1991 겨울,1,-0.4,1992
1992-01-06,1991 겨울,1,2.8,1992
1992-01-07,1991 겨울,1,-0.4,1992
1992-01-08,1991 겨울,1,-0.1,1992
1992-01-09,1991 겨울,1,-1.7,1992
1992-01-10,1991 겨울,1,-0.1,1992
1992-01-11,1991 겨울,1,-0.1,1992
1992-01-12,1991 겨울,1,1.4,1992
1992-01-13,1991 겨울,1,0.1,1992
1992-01-14,1991 겨울,1,-0.8,1992
1992-01-15,1991 겨울,1,-2.6,1992
1992-01-16,1991 겨울,1,-3.1,1992
1992-01-17,1991 겨울,1,-9.6,1992
1992-01-18,1991 겨울,1,-10.8,1992
1992-01-19,1991 겨울,1,-6.4,1992
1992-01-20,1991 겨울,1,-4,1992
1992-01-21,1991 겨울,1,-1.3,1992
1992-01-22,1991 겨울,1,-3.7,1992
1992-01-23,1991 겨울,1,-4.7,1992
1992-01-24,1991 겨울,1,-1.3,1992
1992-01-25,1991 겨울,1,0.5,1992
1992-01-26,1991 겨울,1,-0.7,1992
1992-01-27,1991 겨울,1,-0.4,1992
1992-01-28,1991 겨울,1,1,1992
1992-01-29,1991 겨울,1,0.4,1992
1992-01-30,1991 겨울,1,-1.8,1992
1992-01-31,1991 겨울,1,-2.4,1992
1992-02-01,1991 겨울,2,-2.1,1992
1992-02-02,1991 겨울,2,-1.6,1992
1992-02-03,1991 겨울,2,-1.2,1992
1992-02-04,1991 겨울,2,-4.7,1992
1992-02-05,1991 겨울,2,-3,1992
1992-02-06,1991 겨울,2,-4,1992
1992-02-07,1991 겨울,2,-5.7,1992
1992-02-08,1991 겨울,2,-6.1,1992
1992-02-09,1991 겨울,2,-3.4,1992
1992-02-10,1991 겨울,2,-1.8,1992
1992-02-11,1991 겨울,2,-3.5,1992
1992-02-12,1991 겨울,2,-1.7,1992
1992-02-13,1991 겨울,2,-3.9,1992
1992-02-14,1991 겨울,2,-1,1992
1992-02-15,1991 겨울,2,0.6,1992
1992-02-16,1991 겨울,2,-6.8,1992
1992-02-17,1991 겨울,2,-3.9,1992
1992-02-18,1991 겨울,2,-2.7,1992
