date,Year,Month,heatindex
19890601,1989 여름,6,20.6
19890602,1989 여름,6,21.24
19890603,1989 여름,6,22.61
19890604,1989 여름,6,22.03
19890605,1989 여름,6,20.37
19890606,1989 여름,6,21.1
19890607,1989 여름,6,24.88
19890608,1989 여름,6,18
19890609,1989 여름,6,16.1
19890610,1989 여름,6,18.86
19890611,1989 여름,6,20.18
19890612,1989 여름,6,21.83
19890613,1989 여름,6,24.93
19890614,1989 여름,6,19.89
19890615,1989 여름,6,18.55
19890616,1989 여름,6,20.6
19890617,1989 여름,6,20.14
19890618,1989 여름,6,18.23
19890619,1989 여름,6,17.56
19890620,1989 여름,6,19.93
19890621,1989 여름,6,20.77
19890622,1989 여름,6,21.45
19890623,1989 여름,6,25.41
19890624,1989 여름,6,23.82
19890625,1989 여름,6,23.68
19890626,1989 여름,6,23.95
19890627,1989 여름,6,22.43
19890628,1989 여름,6,22.44
19890629,1989 여름,6,25
19890630,1989 여름,6,24.41
19890701,1989 여름,7,23.23
19890702,1989 여름,7,21.48
19890703,1989 여름,7,21.55
19890704,1989 여름,7,22.7
19890705,1989 여름,7,24.11
19890706,1989 여름,7,25.72
19890707,1989 여름,7,25.57
19890708,1989 여름,7,22.28
19890709,1989 여름,7,22.99
19890710,1989 여름,7,23.3
19890711,1989 여름,7,21.54
19890712,1989 여름,7,23.83
19890713,1989 여름,7,24.88
19890714,1989 여름,7,25.51
19890715,1989 여름,7,23.84
19890716,1989 여름,7,23.23
19890717,1989 여름,7,26.12
19890718,1989 여름,7,30.69
19890719,1989 여름,7,31.51
19890720,1989 여름,7,25.73
19890721,1989 여름,7,25.01
19890722,1989 여름,7,29.73
19890723,1989 여름,7,30.38
19890724,1989 여름,7,30.49
19890725,1989 여름,7,25.17
19890726,1989 여름,7,25.6
19890727,1989 여름,7,21.47
19890728,1989 여름,7,22.1
19890729,1989 여름,7,23.32
19890730,1989 여름,7,26.55
19890731,1989 여름,7,32.43
19890801,1989 여름,8,27.97
19890802,1989 여름,8,25.49
19890803,1989 여름,8,26.27
19890804,1989 여름,8,30.2
19890805,1989 여름,8,31.61
19890806,1989 여름,8,30.78
19890807,1989 여름,8,28.67
19890808,1989 여름,8,29.31
19890809,1989 여름,8,28.68
19890810,1989 여름,8,25.44
19890811,1989 여름,8,24.22
19890812,1989 여름,8,25.01
19890813,1989 여름,8,26.47
19890814,1989 여름,8,31.27
19890815,1989 여름,8,26.56
19890816,1989 여름,8,25.11
19890817,1989 여름,8,25.11
19890818,1989 여름,8,26.45
19890819,1989 여름,8,25.97
19890820,1989 여름,8,23.97
19890821,1989 여름,8,22.31
19890822,1989 여름,8,24.08
19890823,1989 여름,8,25.95
19890824,1989 여름,8,25.65
19890825,1989 여름,8,24.4
19890826,1989 여름,8,24.98
19890827,1989 여름,8,24.71
19890828,1989 여름,8,24.07
19890829,1989 여름,8,21
19890830,1989 여름,8,21.9
19890831,1989 여름,8,23.88
19900601,1990 여름,6,15.09
19900602,1990 여름,6,17.89
19900603,1990 여름,6,20.7
19900604,1990 여름,6,22.04
19900605,1990 여름,6,21.05
19900606,1990 여름,6,23.01
19900607,1990 여름,6,23.94
19900608,1990 여름,6,19.04
19900609,1990 여름,6,17.06
19900610,1990 여름,6,19.63
19900611,1990 여름,6,19.59
19900612,1990 여름,6,20.93
19900613,1990 여름,6,23.31
19900614,1990 여름,6,22.68
19900615,1990 여름,6,21.07
19900616,1990 여름,6,21.25
19900617,1990 여름,6,23.32
19900618,1990 여름,6,20.58
19900619,1990 여름,6,21.32
19900620,1990 여름,6,20.73
19900621,1990 여름,6,19.47
19900622,1990 여름,6,20.54
19900623,1990 여름,6,22.61
19900624,1990 여름,6,22.53
19900625,1990 여름,6,21.58
19900626,1990 여름,6,20.31
19900627,1990 여름,6,20.39
19900628,1990 여름,6,21.28
19900629,1990 여름,6,20.7
19900630,1990 여름,6,22.05
19900701,1990 여름,7,21.6
19900702,1990 여름,7,19.7
19900703,1990 여름,7,19.61
19900704,1990 여름,7,21.45
19900705,1990 여름,7,24.28
19900706,1990 여름,7,24.9
19900707,1990 여름,7,26.62
19900708,1990 여름,7,30.32
19900709,1990 여름,7,30.25
19900710,1990 여름,7,30.93
19900711,1990 여름,7,24.96
19900712,1990 여름,7,25.89
19900713,1990 여름,7,23.5
19900714,1990 여름,7,22.54
19900715,1990 여름,7,23.37
19900716,1990 여름,7,24.65
19900717,1990 여름,7,23.31
19900718,1990 여름,7,23.9
19900719,1990 여름,7,25.46
19900720,1990 여름,7,25.17
19900721,1990 여름,7,24.85
19900722,1990 여름,7,25.77
19900723,1990 여름,7,25.24
19900724,1990 여름,7,24.9
19900725,1990 여름,7,25.27
19900726,1990 여름,7,25.7
19900727,1990 여름,7,30.07
19900728,1990 여름,7,33.04
19900729,1990 여름,7,34.58
19900730,1990 여름,7,34.69
19900731,1990 여름,7,32.42
19900801,1990 여름,8,32.51
19900802,1990 여름,8,34.01
19900803,1990 여름,8,33.12
19900804,1990 여름,8,31.49
19900805,1990 여름,8,32.83
19900806,1990 여름,8,33.32
19900807,1990 여름,8,34.95
19900808,1990 여름,8,32.05
19900809,1990 여름,8,29.59
19900810,1990 여름,8,26.16
19900811,1990 여름,8,26.25
19900812,1990 여름,8,29.81
19900813,1990 여름,8,30.76
19900814,1990 여름,8,25.49
19900815,1990 여름,8,26.64
