기간,구분,평균,평균최고,극점최고,평균최저,극점최저,강수량(mm),평균,최소,평균해면기압(hPa),이슬점온도(℃),평균운량(10%),일조시간(hr),평균풍속,최대풍속
1989.06 ,서울시,21.2,26.2,31.9,16.9,12.8,177.1,67,28,1009,14.4,5.8,204.4,2.4,9.2
1989.07 ,서울시,24.5,28.5,33.3,21.2,17.3,343.5,79,35,1009,20.4,6.8,150.7,2.1,10.7
1989.08 ,서울시,25.5,29.7,35.3,21.7,17.4,318.6,72,37,1007.8,19.6,5.8,201.8,2.2,10
1989.09 ,서울시,20.7,25.1,29.5,16.9,10.3,101.2,73,33,1012.7,15.4,6.1,177.2,2.1,9.7
1989.10 ,서울시,13.6,18.8,23.7,9,1.9,69.9,65,21,1019.6,6.7,2.6,212.2,2.1,11
1989.11 ,서울시,7.1,11.2,17.4,3.5,-6.3,154.5,67,26,1024.8,0.9,4.4,158,2.5,12.3
1989.12 ,서울시,1.4,4.9,14.7,-1.9,-8.7,12.4,68,25,1024.6,-4.3,3.8,137.4,2.1,8.2
1990.01 ,서울시,-3.2,0.2,7.8,-6.6,-17.1,62.2,61,23,1027.3,-10.1,4.5,141.7,2.4,7.3
1990.02 ,서울시,2.7,5.8,12.9,-0.1,-5.2,64.8,72,22,1026.1,-2.3,6.3,92.8,2.2,8
1990.03 ,서울시,7.2,11.5,18.8,3.6,-1.3,92.3,65,26,1021,-0.3,5,165.2,2.7,8.7
1990.04 ,서울시,11.3,16.3,26.3,6.7,1.6,94.2,64,14,1014.4,3.8,5,187.2,3,10.2
1990.05 ,서울시,16.2,21,27.1,12.2,7.2,122.8,74,30,1012.6,11,6.7,151.7,2.7,10.7
1990.06 ,서울시,20.7,24.6,29.4,17.4,13.4,497.2,81,34,1007.9,17,7.5,108.4,2.4,11.3
1990.07 ,서울시,24.9,28.4,34.2,22,16.7,486.5,85,56,1006.2,22,7.8,116.8,2.3,9.8
1990.08 ,서울시,26.4,30.9,35.5,22.8,18.5,283.5,77,41,1007.5,21.7,5,210.3,2,10.5
1990.09 ,서울시,21.1,25.7,31.1,17,14.8,570.1,74,38,1014.4,15.8,5.7,170,1.9,7
1990.10 ,서울시,15.4,21.3,27.1,10.3,6.1,-,63,28,1020.3,7.9,2.4,243.1,1.8,8.7
1990.11 ,서울시,10,14.6,21.9,5.8,-4.9,56,71,25,1022.6,4.7,4.2,136.3,2.1,10
1990.12 ,서울시,0.9,4.8,13.8,-3,-12.9,25.9,67,24,1024.2,-4.8,4.4,139,2.7,13.3
1991.01 ,서울시,-2.6,1.6,9.7,-6.3,-12.9,14.4,63,22,1026,-9.2,3,190.9,2.2,10.7
1991.02 ,서울시,-0.9,3.1,12,-4.6,-15,28.4,61,17,1023.4,-8.1,4.3,171.3,2.7,10.2
1991.03 ,서울시,4.9,9.6,18.9,0.7,-6,65.5,63,22,1021.9,-2,5.3,179.5,2.7,9.3
1991.04 ,서울시,13,19.1,25.6,7.6,-3.4,48.5,56,21,1016.7,3.7,3.4,253.5,2.6,13.3
