date,Year,Month,heatindex,year
1989-06-01,1989 여름,6,20.6,1989
1989-06-02,1989 여름,6,21.24,1989
1989-06-03,1989 여름,6,22.61,1989
1989-06-04,1989 여름,6,22.03,1989
1989-06-05,1989 여름,6,20.37,1989
1989-06-06,1989 여름,6,21.1,1989
1989-06-07,1989 여름,6,24.88,1989
1989-06-08,1989 여름,6,18,1989
1989-06-09,1989 여름,6,16.1,1989
1989-06-10,1989 여름,6,18.86,1989
1989-06-11,1989 여름,6,20.18,1989
1989-06-12,1989 여름,6,21.83,1989
1989-06-13,1989 여름,6,24.93,1989
1989-06-14,1989 여름,6,19.89,1989
1989-06-15,1989 여름,6,18.55,1989
1989-06-16,1989 여름,6,20.6,1989
1989-06-17,1989 여름,6,20.14,1989
1989-06-18,1989 여름,6,18.23,1989
1989-06-19,1989 여름,6,17.56,1989
1989-06-20,1989 여름,6,19.93,1989
1989-06-21,1989 여름,6,20.77,1989
1989-06-22,1989 여름,6,21.45,1989
1989-06-23,1989 여름,6,25.41,1989
1989-06-24,1989 여름,6,23.82,1989
1989-06-25,1989 여름,6,23.68,1989
1989-06-26,1989 여름,6,23.95,1989
1989-06-27,1989 여름,6,22.43,1989
1989-06-28,1989 여름,6,22.44,1989
1989-06-29,1989 여름,6,25,1989
1989-06-30,1989 여름,6,24.41,1989
1989-07-01,1989 여름,7,23.23,1989
1989-07-02,1989 여름,7,21.48,1989
1989-07-03,1989 여름,7,21.55,1989
1989-07-04,1989 여름,7,22.7,1989
1989-07-05,1989 여름,7,24.11,1989
1989-07-06,1989 여름,7,25.72,1989
1989-07-07,1989 여름,7,25.57,1989
1989-07-08,1989 여름,7,22.28,1989
1989-07-09,1989 여름,7,22.99,1989
1989-07-10,1989 여름,7,23.3,1989
1989-07-11,1989 여름,7,21.54,1989
1989-07-12,1989 여름,7,23.83,1989
1989-07-13,1989 여름,7,24.88,1989
1989-07-14,1989 여름,7,25.51,1989
1989-07-15,1989 여름,7,23.84,1989
1989-07-16,1989 여름,7,23.23,1989
1989-07-17,1989 여름,7,26.12,1989
1989-07-18,1989 여름,7,30.69,1989
1989-07-19,1989 여름,7,31.51,1989
1989-07-20,1989 여름,7,25.73,1989
1989-07-21,1989 여름,7,25.01,1989
1989-07-22,1989 여름,7,29.73,1989
1989-07-23,1989 여름,7,30.38,1989
1989-07-24,1989 여름,7,30.49,1989
1989-07-25,1989 여름,7,25.17,1989
1989-07-26,1989 여름,7,25.6,1989
1989-07-27,1989 여름,7,21.47,1989
1989-07-28,1989 여름,7,22.1,1989
1989-07-29,1989 여름,7,23.32,1989
1989-07-30,1989 여름,7,26.55,1989
1989-07-31,1989 여름,7,32.43,1989
1989-08-01,1989 여름,8,27.97,1989
1989-08-02,1989 여름,8,25.49,1989
1989-08-03,1989 여름,8,26.27,1989
1989-08-04,1989 여름,8,30.2,1989
1989-08-05,1989 여름,8,31.61,1989
1989-08-06,1989 여름,8,30.78,1989
1989-08-07,1989 여름,8,28.67,1989
1989-08-08,1989 여름,8,29.31,1989
1989-08-09,1989 여름,8,28.68,1989
1989-08-10,1989 여름,8,25.44,1989
1989-08-11,1989 여름,8,24.22,1989
1989-08-12,1989 여름,8,25.01,1989
1989-08-13,1989 여름,8,26.47,1989
1989-08-14,1989 여름,8,31.27,1989
1989-08-15,1989 여름,8,26.56,1989
1989-08-16,1989 여름,8,25.11,1989
1989-08-17,1989 여름,8,25.11,1989
1989-08-18,1989 여름,8,26.45,1989
1989-08-19,1989 여름,8,25.97,1989
1989-08-20,1989 여름,8,23.97,1989
1989-08-21,1989 여름,8,22.31,1989
