time,area,title
2007-08-16,서울·인천·경기도,제 08-1호 | 폭염주의보 발표
2007-08-16,서울·인천·경기도,제 08-2호 | 폭염주의보 발표
2007-08-19,서울·인천·경기도,제 08-3호 | 폭염주의보 해제
2007-08-19,서울·인천·경기도,제 08-4호 | 폭염주의보 발표
2007-08-21,서울·인천·경기도,제 08-5호 | 폭염주의보 해제
2007-08-22,서울·인천·경기도,제 08-6호 | 폭염주의보 발표
2007-08-26,서울·인천·경기도,제 08-7호 | 폭염주의보 해제
2008-07-07,서울·인천·경기도,제 07-6호 | 폭염주의보 발표
2008-07-09,서울·인천·경기도,제 07-3호 | 폭염주의보 발표
2008-07-09,서울·인천·경기도,제 07-7호 | 폭염주의보 발표
2008-07-09,서울·인천·경기도,제 07-4호 | 폭염주의보 해제
2008-07-09,서울·인천·경기도,제 07-8호 | 폭염주의보 해제
2008-07-10,서울·인천·경기도,제 07-9호 | 폭염주의보 해제
2008-07-29,서울·인천·경기도,제 07-52호 | 폭염주의보 발표
2008-07-29,서울·인천·경기도,제 07-53호 | 폭염주의보 발표
2008-07-30,서울·인천·경기도,제 07-54호 | 폭염주의보 해제
2008-08-04,서울·인천·경기도,제 08-13호 | 폭염주의보 발표
2008-08-05,서울·인천·경기도,제 08-14호 | 폭염주의보 발표
2008-08-06,서울·인천·경기도,제 08-15호 | 폭염주의보 발표
2008-08-06,서울·인천·경기도,제 08-16호 | 폭염주의보 발표
2008-08-06,서울·인천·경기도,제 08-17호 | 폭염주의보 발표·폭염경보 대치
2008-08-07,서울·인천·경기도,제 08-18호 | 폭염경보 대치
2008-08-08,서울·인천·경기도,제 08-19호 | 폭염주의보 발표·폭염경보 대치
2008-08-09,서울·인천·경기도,제 08-20호 | 폭염경보 대치
2008-08-09,서울·인천·경기도,제 08-21호 | 폭염주의보 대치
2008-08-11,서울·인천·경기도,제 08-22호 | 폭염주의보 해제
2008-08-14,서울·인천·경기도,제 08-39호 | 폭염주의보 발표
2008-08-14,서울·인천·경기도,제 08-40호 | 폭염주의보 해제
2009-07-30,서울·인천·경기도,제 07-67호 | 폭염주의보 발표
2009-08-02,서울·인천·경기도,제 08-1호 | 폭염주의보 해제
2009-08-09,서울·인천·경기도,제 08-2호 | 폭염주의보 발표
2009-08-09,서울·인천·경기도,제 08-3호 | 폭염주의보 발표
2009-08-10,서울·인천·경기도,제 08-4호 | 폭염주의보 발표
2009-08-10,서울·인천·경기도,제 08-5호 | 폭염주의보 해제
2009-08-13,서울·인천·경기도,제 08-20호 | 폭염주의보 발표
2009-08-14,서울·인천·경기도,제 08-21호 | 폭염주의보 발표
2009-08-14,서울·인천·경기도,제 08-22호 | 폭염주의보 발표
2009-08-15,서울·인천·경기도,제 08-23호 | 폭염경보 대치
2009-08-15,서울·인천·경기도,제 08-24호 | 폭염경보 대치
2009-08-16,서울·인천·경기도,제 08-25호 | 폭염주의보 해제·폭염주의보 대치
2009-08-16,서울·인천·경기도,제 08-26호 | 폭염주의보 해제
2009-08-17,서울·인천·경기도,제 08-27호 | 폭염주의보 해제
2010-07-19,서울·인천·경기도,제 07-22호 | 폭염주의보 발표
2010-07-20,서울·인천·경기도,제 07-23호 | 폭염주의보 해제
2010-07-22,서울·인천·경기도,제 07-24호 | 폭염주의보 발표
2010-07-23,서울·인천·경기도,제 07-25호 | 폭염주의보 해제
2010-07-29,서울·인천·경기도,제 07-38호 | 폭염주의보 발표
2010-07-30,서울·인천·경기도,제 07-39호 | 폭염주의보 발표
2010-07-31,서울·인천·경기도,제 07-40호 | 폭염주의보 해제
2010-08-03,서울·인천·경기도,제 08-1호 | 폭염주의보 발표
2010-08-05,서울·인천·경기도,제 08-2호 | 폭염주의보 발표
2010-08-06,서울·인천·경기도,제 08-3호 | 폭염주의보 해제
2010-08-08,서울·인천·경기도,제 08-8호 | 폭염주의보 발표
2010-08-09,서울·인천·경기도,제 08-9호 | 폭염주의보 발표
2010-08-10,서울·인천·경기도,제 08-10호 | 폭염주의보 해제
2010-08-19,서울·인천·경기도,제 08-37호 | 폭염주의보 발표
2010-08-19,서울·인천·경기도,제 08-38호 | 폭염주의보 발표
2010-08-20,서울·인천·경기도,제 08-39호 | 폭염주의보 발표
2010-08-20,서울·인천·경기도,제 08-9호 | 폭염주의보 발표
2010-08-20,서울·인천·경기도,제 08-40호 | 폭염주의보 발표
2010-08-21,서울·인천·경기도,제 08-41호 | 폭염경보 대치
2010-08-23,서울·인천·경기도,제 08-10호 | 폭염주의보 해제
2010-08-23,서울·인천·경기도,제 08-42호 | 폭염경보·폭염주의보 해제
2010-09-04,서울·인천·경기도,제 09-9호 | 폭염주의보 발표
2010-09-05,서울·인천·경기도,제 09-11호 | 호우주의보·폭염주의보 해제
2011-06-20,서울·인천·경기도,제 06-1호 | 폭염주의보 발표
2011-06-20,서울·인천·경기도,제 06-2호 | 폭염주의보 해제
2011-06-21,서울·인천·경기도,제 06-3호 | 폭염주의보 해제
2011-07-19,서울·인천·경기도,제 07-28호 | 폭염주의보 발표
2011-07-21,서울·인천·경기도,제 07-29호 | 폭염주의보 해제
2011-08-06,서울·인천·경기도,제 08-8호 | 폭염주의보 발표
2011-08-07,서울·인천·경기도,제 08-11호 | 폭염주의보 해제
2011-08-31,서울·인천·경기도,제 08-42호 | 폭염주의보 발표
2011-09-02,서울·인천·경기도,제 09-1호 | 폭염주의보 해제
2012-06-25,서울·인천·경기도,제 06-1호 | 폭염주의보 발표
2012-06-25,서울·인천·경기도,제 06-1호 | 폭염주의보 발표
2012-06-25,서울·인천·경기도,제 06-2호 | 폭염주의보 해제
2012-06-25,서울·인천·경기도,제 06-2호 | 폭염주의보 해제
2012-07-08,서울·인천·경기도,제 07-16호 | 폭염주의보 발표
2012-07-09,서울·인천·경기도,제 07-17호 | 폭염주의보 해제
2012-07-24,서울·인천·경기도,제 07-33호 | 폭염주의보 발표
2012-07-24,서울·인천·경기도,제 07-34호 | 폭염주의보 발표
2012-07-25,서울·인천·경기도,제 07-35호 | 폭염주의보 발표
2012-07-25,서울·인천·경기도,제 07-36호 | 폭염주의보 발표
2012-07-29,서울·인천·경기도,제 07-37호 | 폭염주의보 해제
2012-07-31,서울·인천·경기도,제 07-38호 | 폭염주의보 발표
2012-08-01,서울·인천·경기도,제 08-1호 | 폭염경보 대치·폭염주의보 발표
2012-08-01,서울·인천·경기도,제 08-1호 | 폭염주의보 발표
2012-08-01,서울·인천·경기도,제 08-2호 | 폭염경보 대치
2012-08-02,서울·인천·경기도,제 08-3호 | 폭염경보 대치
2012-08-08,서울·인천·경기도,제 08-2호 | 폭염주의보 해제
2012-08-08,서울·인천·경기도,제 08-4호 | 폭염주의보 대치
2012-08-09,서울·인천·경기도,제 08-5호 | 폭염주의보 대치·폭염주의보 해제
2012-08-10,서울·인천·경기도,제 08-6호 | 폭염주의보 해제
2013-06-28,서울·인천·경기도,제 06-1호 | 폭염주의보 발표
2013-06-30,서울·인천·경기도,제 06-2호 | 폭염주의보 해제
2013-07-01,서울·인천·경기도,제 07-1호 | 폭염주의보 해제
2013-08-05,서울·인천·경기도,제 08-3호 | 폭염주의보 발표
2013-08-05,서울·인천·경기도,제 08-4호 | 폭염주의보 발표
2013-08-06,서울·인천·경기도,제 08-6호 | 호우주의보 해제·폭염주의보 발표
2013-08-09,서울·인천·경기도,제 08-7호 | 폭염주의보 해제
2013-08-10,서울·인천·경기도,제 08-8호 | 폭염주의보 발표
2013-08-11,서울·인천·경기도,제 08-11호 | 폭염주의보 발표
2013-08-17,서울·인천·경기도,제 08-12호 | 폭염주의보 해제
2013-08-19,서울·인천·경기도,제 08-13호 | 폭염주의보 발표
2013-08-26,서울·인천·경기도,제 08-21호 | 폭염주의보 해제
2014-07-09,서울·인천·경기도,제 07-3호 | 폭염주의보 발표
2014-07-10,서울·인천·경기도,제 07-4호 | 폭염주의보 발표
2014-07-11,서울·인천·경기도,제 07-5호 | 폭염주의보 발표
2014-07-11,서울·인천·경기도,제 07-6호 | 폭염주의보 해제
2014-07-20,서울·인천·경기도,제 07-17호 | 폭염주의보 발표
2014-07-22,서울·인천·경기도,제 07-18호 | 폭염주의보 해제
2014-07-30,서울·인천·경기도,제 07-38호 | 폭염주의보 발표
2014-07-31,서울·인천·경기도,제 07-39호 | 폭염주의보 발표
2014-07-31,서울·인천·경기도,제 07-40호 | 폭염주의보 발표
2014-08-01,서울·인천·경기도,제 08-1호 | 폭염주의보 발표
2014-08-01,서울·인천·경기도,제 08-1호 | 폭염주의보 발표
2014-08-01,서울·인천·경기도,제 08-2호 | 폭염주의보 발표
2014-08-01,서울·인천·경기도,제 08-2호 | 폭염경보 대치
2014-08-01,서울·인천·경기도,제 08-3호 | 폭염주의보 대치
2014-08-02,서울·인천·경기도,제 08-3호 | 폭염주의보 해제
2014-08-02,서울·인천·경기도,제 08-4호 | 폭염주의보 해제
2015-05-27,서울·인천·경기도,제 05-16호 | 폭염주의보 발표
2015-05-28,서울·인천·경기도,제 05-17호 | 폭염주의보 해제
2015-05-29,서울·인천·경기도,제 05-19호 | 폭염주의보 해제
2015-07-10,서울·인천·경기도,제 07-1호 | 폭염주의보 발표
